Index-Category,Organization,Person
American Federation of Labor and Affiliated Bodies,Bakery and Confectionery Workers' International Union of America,"Hohmann, Charles F."
American Federation of Labor and Affiliated Bodies,Bakery and Confectionery Workers' International Union of America,"Koehler, Geo. M."
American Federation of Labor and Affiliated Bodies,Bakery and Confectionery Workers' International Union of America,"Lowderback, Ray E."
American Federation of Labor and Affiliated Bodies,Bakery and Confectionery Workers' International Union of America,"Schad, Herman J."
American Federation of Labor and Affiliated Bodies,Bakery and Confectionery Workers' International Union of America,Sufrin. Abraham
American Federation of Labor and Affiliated Bodies,"Barbers' International Union, Journeymen","Baker, Roe H."
American Federation of Labor and Affiliated Bodies,"Barbers' International Union, Journeymen","Birthright, Wm. C."
American Federation of Labor and Affiliated Bodies,"Barbers' International Union, Journeymen","Fischer, Jacob"
American Federation of Labor and Affiliated Bodies,"Barbers' International Union, Journeymen",Reagan. Patrick H.
American Federation of Labor and Affiliated Bodies,"Barbers' International Union, Journeymen","Shanessy, James C."
American Federation of Labor and Affiliated Bodies,"Barbers' International Union, Journeymen","Witnker, Marion H."
American Federation of Labor and Affiliated Bodies,"Barbers' International Union, Journeymen","Worthall, Leon."
American Federation of Labor and Affiliated Bodies,"Bill Posters and Billers of America, International Alliance of","Abernathy, George "
American Federation of Labor and Affiliated Bodies,"Bill Posters and Billers of America, International Alliance of",Jilvin. John Til
American Federation of Labor and Affiliated Bodies,"Bill Posters and Billers of America, International Alliance of","McCarthy, William"
American Federation of Labor and Affiliated Bodies,"Bill Posters and Billers of America, International Alliance of",Moran. William F.
American Federation of Labor and Affiliated Bodies,"Blacksmiths, Drop Forgers and Helpers, International Brotherhood of","Fielding, Lincoln"
American Federation of Labor and Affiliated Bodies,"Blacksmiths, Drop Forgers and Helpers, International Brotherhood of","Horn, Roy"
American Federation of Labor and Affiliated Bodies,"Blacksmiths, Drop Forgers and Helpers, International Brotherhood of","Kline, James W."
American Federation of Labor and Affiliated Bodies,"Blacksmiths, Drop Forgers and Helpers, International Brotherhood of","Kramer, William F."
American Federation of Labor and Affiliated Bodies,"Blacksmiths, Drop Forgers and Helpers, International Brotherhood of","Martin, Marshall W."
American Federation of Labor and Affiliated Bodies,"Blacksmiths, Drop Forgers and Helpers, International Brotherhood of","Robertson, William T."
American Federation of Labor and Affiliated Bodies,"Boiler Makers, Iron Ship Builders and Helpers of America, International Brotherhood of","Casey, James B."
American Federation of Labor and Affiliated Bodies,"Boiler Makers, Iron Ship Builders and Helpers of America, International Brotherhood of","Flynn, Joseph"
American Federation of Labor and Affiliated Bodies,"Boiler Makers, Iron Ship Builders and Helpers of America, International Brotherhood of","Franklin, J. A. "
American Federation of Labor and Affiliated Bodies,"Boiler Makers, Iron Ship Builders and Helpers of America, International Brotherhood of","Reed, Joseph"
American Federation of Labor and Affiliated Bodies,"Bookbinders, International Brotherhood of","Belair, Felix J."
American Federation of Labor and Affiliated Bodies,"Bookbinders, International Brotherhood of","Kennell, Chas. O."
American Federation of Labor and Affiliated Bodies,"Bookbinders, International Brotherhood of",Reddick. Walter N.
American Federation of Labor and Affiliated Bodies,Boot and Shoe Workers' Union,"Baine, Charlea L."
American Federation of Labor and Affiliated Bodies,Boot and Shoe Workers' Union,"Carlin, Fay L. "
American Federation of Labor and Affiliated Bodies,Boot and Shoe Workers' Union,"Lovely, Coills"
American Federation of Labor and Affiliated Bodies,"Brewery, Flour, Cereal and Soft Drink Workers of America, International Union of the United","Bollenbacher, Peter"
American Federation of Labor and Affiliated Bodies,"Brewery, Flour, Cereal and Soft Drink Workers of America, International Union of the United","Kugler, Albert J."
American Federation of Labor and Affiliated Bodies,"Brewery, Flour, Cereal and Soft Drink Workers of America, International Union of the United","Obergfell, Joseph F."
American Federation of Labor and Affiliated Bodies,"Brewery, Flour, Cereal and Soft Drink Workers of America, International Union of the United","Prechtel, John"
American Federation of Labor and Affiliated Bodies,"Brewery, Flour, Cereal and Soft Drink Workers of America, International Union of the United","Rader, John"
American Federation of Labor and Affiliated Bodies,"Brewery, Flour, Cereal and Soft Drink Workers of America, International Union of the United","Young, Konrad"
American Federation of Labor and Affiliated Bodies,"Brewery, Flour, Cereal and Soft Drink Workers of America, International Union of the United","Zorn, Julius"
American Federation of Labor and Affiliated Bodies,"Brick and Clay Workers of America, United","Burns, Patrick B."
American Federation of Labor and Affiliated Bodies,"Brick and Clay Workers of America, United","Hasten, Frank"
American Federation of Labor and Affiliated Bodies,"Brick and Clay Workers of America, United","Nystrom, Conrad F."
American Federation of Labor and Affiliated Bodies,"Brick and Clay Workers of America, United","Schildroth, Conrad"
American Federation of Labor and Affiliated Bodies,"Brick and Clay Workers of America, United","Tracy, William"
American Federation of Labor and Affiliated Bodies,"Bricklayers', Masons', and Plasterers' International Union of America","Bates, Harry C."
American Federation of Labor and Affiliated Bodies,"Bricklayers', Masons', and Plasterers' International Union of America","Bowen, William J."
American Federation of Labor and Affiliated Bodies,"Bricklayers', Masons', and Plasterers' International Union of America","Dobson, William"
American Federation of Labor and Affiliated Bodies,"Bricklayers', Masons', and Plasterers' International Union of America",Wade. Frank
American Federation of Labor and Affiliated Bodies,Bridge and Structural Iron Workers' International Association,"Artery, Michael"
American Federation of Labor and Affiliated Bodies,Bridge and Structural Iron Workers' International Association,"Flannery, James H."
American Federation of Labor and Affiliated Bodies,Bridge and Structural Iron Workers' International Association,"Jones, Harry"
American Federation of Labor and Affiliated Bodies,Bridge and Structural Iron Workers' International Association,"Morrin, Paul J."
American Federation of Labor and Affiliated Bodies,Bridge and Structural Iron Workers' International Association,"Broom and Whisk Makers' Union, International"
American Federation of Labor and Affiliated Bodies,Bridge and Structural Iron Workers' International Association,"Boyer, Will R."
American Federation of Labor and Affiliated Bodies,Bridge and Structural Iron Workers' International Association,"Burgin, John M."
American Federation of Labor and Affiliated Bodies,Building Service Employees' International Union,"Peters, Claude F."
American Federation of Labor and Affiliated Bodies,Building Service Employees' International Union,"Quesse, William F."
American Federation of Labor and Affiliated Bodies,Building Service Employees' International Union,"Rankin, John P."
American Federation of Labor and Affiliated Bodies,"Carpenters and Joiners of America, United Brotherhood of","Bill, Arnold"
American Federation of Labor and Affiliated Bodies,"Carpenters and Joiners of America, United Brotherhood of","Brooks, George P."
American Federation of Labor and Affiliated Bodies,"Carpenters and Joiners of America, United Brotherhood of","Duffy, Frank"
American Federation of Labor and Affiliated Bodies,"Carpenters and Joiners of America, United Brotherhood of","Guerin, Theabold M."
American Federation of Labor and Affiliated Bodies,"Carpenters and Joiners of America, United Brotherhood of","Hutcheson, Wm. L."
American Federation of Labor and Affiliated Bodies,"Carpenters and Joiners of America, United Brotherhood of","Johannsen, Anton"
American Federation of Labor and Affiliated Bodies,"Carpenters and Joiners of America, United Brotherhood of","Potts, John H."
American Federation of Labor and Affiliated Bodies,"Carpenters and Joiners of America, United Brotherhood of",Rosen. Morris
American Federation of Labor and Affiliated Bodies,"Carpenters and Joiners of America, United Brotherhood of","Schneider, Joseph P."
American Federation of Labor and Affiliated Bodies,"Carpenters and Joiners of America, United Brotherhood of","Stewart, James R."
American Federation of Labor and Affiliated Bodies,"Carpenters and Joiners of America, United Brotherhood of","Williams, James W."
American Federation of Labor and Affiliated Bodies,Cigarmakers' International Union of America,"Barnes, J. Mahlon"
American Federation of Labor and Affiliated Bodies,Cigarmakers' International Union of America,"Berlyn, Bernard"
American Federation of Labor and Affiliated Bodies,Cigarmakers' International Union of America,"Ornburn, Ira M."
American Federation of Labor and Affiliated Bodies,Cigarmakers' International Union of America,"Perkins, George W. "
American Federation of Labor and Affiliated Bodies,Cigarmakers' International Union of America,"Van Vaerenewyck, J."
American Federation of Labor and Affiliated Bodies,"Cloth Hut, Cap, and Millinery Workers' International Union","Budish, J. M."
American Federation of Labor and Affiliated Bodies,"Cloth Hut, Cap, and Millinery Workers' International Union","Margolin, Louis"
American Federation of Labor and Affiliated Bodies,"Cloth Hut, Cap, and Millinery Workers' International Union","Spector, Nathaniel"
American Federation of Labor and Affiliated Bodies,"Cloth Hut, Cap, and Millinery Workers' International Union","Weingarten, Aaron"
American Federation of Labor and Affiliated Bodies,"Cloth Hut, Cap, and Millinery Workers' International Union","Zaritsky, Max"
American Federation of Labor and Affiliated Bodies,"Cloth Hut, Cap, and Millinery Workers' International Union","Zuckerman, Max"
American Federation of Labor and Affiliated Bodies,"Conductors, Order of Sleeping Car","Murphy, W. O."
American Federation of Labor and Affiliated Bodies,"Conductors, Order of Sleeping Car","Warfleld, Miles S."
American Federation of Labor and Affiliated Bodies,Coopers' International Union,"Keller, Charles"
American Federation of Labor and Affiliated Bodies,Coopers' International Union,"Krepps, Forrest M."
American Federation of Labor and Affiliated Bodies,Coopers' International Union,"Maurer, Jacob P."
American Federation of Labor and Affiliated Bodies,Diamond Workers' Protective Union of America,"Meyer, Andries"
American Federation of Labor and Affiliated Bodies,Elastic Goring Weavers' Amalgamated Association,"Hunter, Charles"
American Federation of Labor and Affiliated Bodies,Elastic Goring Weavers' Amalgamated Association,"Hurley, Joseph"
American Federation of Labor and Affiliated Bodies,"Electrical Workers of America, International Brotherhood of","Barton, Edward I."
American Federation of Labor and Affiliated Bodies,"Electrical Workers of America, International Brotherhood of","Brady, Mary H."
American Federation of Labor and Affiliated Bodies,"Electrical Workers of America, International Brotherhood of","Broach, Howell H."
American Federation of Labor and Affiliated Bodies,"Electrical Workers of America, International Brotherhood of","Bugniazet, G. M."
American Federation of Labor and Affiliated Bodies,"Electrical Workers of America, International Brotherhood of","Coucher, Beatrice V."
American Federation of Labor and Affiliated Bodies,"Electrical Workers of America, International Brotherhood of","Grain, Kate C."
American Federation of Labor and Affiliated Bodies,"Electrical Workers of America, International Brotherhood of","Evans, Edward J."
American Federation of Labor and Affiliated Bodies,"Electrical Workers of America, International Brotherhood of","Ford, Charles P."
American Federation of Labor and Affiliated Bodies,"Electrical Workers of America, International Brotherhood of",Hogim. W. A.
American Federation of Labor and Affiliated Bodies,"Electrical Workers of America, International Brotherhood of","Johnson, Agnes G."
American Federation of Labor and Affiliated Bodies,"Electrical Workers of America, International Brotherhood of","Meade, James S. "
American Federation of Labor and Affiliated Bodies,"Electrical Workers of America, International Brotherhood of","Noonan, James P."
American Federation of Labor and Affiliated Bodies,"Electrical Workers of America, International Brotherhood of","O'Connor, Julia S."
American Federation of Labor and Affiliated Bodies,"Electrical Workers of America, International Brotherhood of","Sullivan, Rose S."
American Federation of Labor and Affiliated Bodies,"Electrical Workers of America, International Brotherhood of","Valentine, Edear C."
American Federation of Labor and Affiliated Bodies,"Electrical Workers of America, International Brotherhood of","Woods, Roy H."
American Federation of Labor and Affiliated Bodies,"Elevator Constructors, International Union of","Crosswaith, Frank"
American Federation of Labor and Affiliated Bodies,"Elevator Constructors, International Union of","Feeney, Frank"
American Federation of Labor and Affiliated Bodies,"Elevator Constructors, International Union of","Murphy, Ira A."
American Federation of Labor and Affiliated Bodies,"Elevator Constructors, International Union of","Murphy, Joseph"
American Federation of Labor and Affiliated Bodies,"Federal Employees, National Federation of","Cartwright, Victor I."
American Federation of Labor and Affiliated Bodies,"Federal Employees, National Federation of","Cook, inez"
American Federation of Labor and Affiliated Bodies,"Federal Employees, National Federation of","Kinsell, S. Tyson"
American Federation of Labor and Affiliated Bodies,"Federal Employees, National Federation of","McKeon, James P."
American Federation of Labor and Affiliated Bodies,"Federal Employees, National Federation of","McManus, Herbert W."
American Federation of Labor and Affiliated Bodies,"Federal Employees, National Federation of","McNally, Gertrude"
American Federation of Labor and Affiliated Bodies,"Federal Employees, National Federation of","Steward, Luther C."
American Federation of Labor and Affiliated Bodies,"Federal Employees, National Federation of","Whitney, Lee R."
American Federation of Labor and Affiliated Bodies,"Fire Fighters, International Association of","Anderson, Harris E."
American Federation of Labor and Affiliated Bodies,"Fire Fighters, International Association of","Baer, Fred W."
American Federation of Labor and Affiliated Bodies,"Fire Fighters, International Association of","Cawker, William, J."
American Federation of Labor and Affiliated Bodies,"Fire Fighters, International Association of","Dear, Donald"
American Federation of Labor and Affiliated Bodies,"Fire Fighters, International Association of","Kirby, Joseph A."
American Federation of Labor and Affiliated Bodies,"Fire Fighters, International Association of","Richardson, Geo. J."
American Federation of Labor and Affiliated Bodies,"Fire Fighters, International Association of","Simister, James M."
American Federation of Labor and Affiliated Bodies,"Firemen and Oilers, International Brotherhood of Stationary","Healy, Timothy,"
American Federation of Labor and Affiliated Bodies,"Firemen and Oilers, International Brotherhood of Stationary","Quinn, Arthur L."
American Federation of Labor and Affiliated Bodies,"Firemen and Oilers, International Brotherhood of Stationary","Shrimp, Chauncey L."
American Federation of Labor and Affiliated Bodies,"Firemen and Oilers, International Brotherhood of Stationary","Sprouse, Louis F."
American Federation of Labor and Affiliated Bodies,"Firemen and Oilers, International Brotherhood of Stationary","Wendele, H. W."
American Federation of Labor and Affiliated Bodies,"Firemen and Oilers, International Brotherhood of Stationary","Foundry Employees, International Brotherhood of"
American Federation of Labor and Affiliated Bodies,"Firemen and Oilers, International Brotherhood of Stationary","Holtschult, Leonard"
American Federation of Labor and Affiliated Bodies,"Fur Workers' Union of United States mid Canada, international","Brownstein, Abraham"
American Federation of Labor and Affiliated Bodies,"Fur Workers' Union of United States mid Canada, international","Gmeiner, Charles"
American Federation of Labor and Affiliated Bodies,"Fur Workers' Union of United States mid Canada, international","Kaufman, Morris"
American Federation of Labor and Affiliated Bodies,"Fur Workers' Union of United States mid Canada, international","Mikol, David"
American Federation of Labor and Affiliated Bodies,"Fur Workers' Union of United States mid Canada, international","Rosebury, Aaron"
American Federation of Labor and Affiliated Bodies,"Fur Workers' Union of United States mid Canada, international","Roy, Albert"
American Federation of Labor and Affiliated Bodies,"Fur Workers' Union of United States mid Canada, international","Wenneis, Andrew W."
American Federation of Labor and Affiliated Bodies,"Garment Workers of America, United","Adamski, Albert"
American Federation of Labor and Affiliated Bodies,"Garment Workers of America, United","Gordon, Abraham"
American Federation of Labor and Affiliated Bodies,"Garment Workers of America, United","Larger, B. A."
American Federation of Labor and Affiliated Bodies,"Garment Workers of America, United","Rickert, Thomas"
American Federation of Labor and Affiliated Bodies,"Garment Workers of America, United","Wines, J. L."
American Federation of Labor and Affiliated Bodies,Glass Bottle Blowers' Association of the United States and Canada,"Eames, Thomas B."
American Federation of Labor and Affiliated Bodies,Glass Bottle Blowers' Association of the United States and Canada,"Jenkins, Harry"
American Federation of Labor and Affiliated Bodies,Glass Bottle Blowers' Association of the United States and Canada,"Maloney, James"
American Federation of Labor and Affiliated Bodies,Glass Bottle Blowers' Association of the United States and Canada,"McLauglin, A. C."
American Federation of Labor and Affiliated Bodies,"Glass Workers' Union, American Flint","Clarke, William P."
American Federation of Labor and Affiliated Bodies,"Glass Workers' Union, American Flint","Cook, Harry H."
American Federation of Labor and Affiliated Bodies,"Glass Workers' Union, American Flint","Gillooly, Michael J."
American Federation of Labor and Affiliated Bodies,"Glass Workers' Union, American Flint","Shipman, Charles J."
American Federation of Labor and Affiliated Bodies,"Glass Workers, Window, National","Berger, George W."
American Federation of Labor and Affiliated Bodies,"Glass Workers, Window, National","Connell, George C."
American Federation of Labor and Affiliated Bodies,"Glass Workers, Window, National","Purcell, John J."
American Federation of Labor and Affiliated Bodies,"Glass Workers, Window, National","Reynolds, Thomas"
American Federation of Labor and Affiliated Bodies,"Glass Workers, Window, National","Vandegrift, Frederick"
American Federation of Labor and Affiliated Bodies,"Glove Workers' Union of America, International","Christman, Elisabeth"
American Federation of Labor and Affiliated Bodies,"Glove Workers' Union of America, International","Mahoney, T. J."
American Federation of Labor and Affiliated Bodies,"Glove Workers' Union of America, International","Nestor, Agnes"
American Federation of Labor and Affiliated Bodies,Granite Cutters' International Association of America,"Calderara, Angelo C."
American Federation of Labor and Affiliated Bodies,Granite Cutters' International Association of America,"Duncan, James"
American Federation of Labor and Affiliated Bodies,Granite Cutters' International Association of America,"Foley, Lawrence"
American Federation of Labor and Affiliated Bodies,Granite Cutters' International Association of America,Gibb. David D.
American Federation of Labor and Affiliated Bodies,Granite Cutters' International Association of America,"Squibb, Samuel"
American Federation of Labor and Affiliated Bodies,"Hatters of North America, United","Africk, Julius L."
American Federation of Labor and Affiliated Bodies,"Hatters of North America, United","Burch, Frank"
American Federation of Labor and Affiliated Bodies,"Hatters of North America, United","Gorman, Daniel A."
American Federation of Labor and Affiliated Bodies,"Hatters of North America, United","Greene, Michael F."
American Federation of Labor and Affiliated Bodies,"Hatters of North America, United","Lawlor, Martin"
American Federation of Labor and Affiliated Bodies,"Hatters of North America, United",Menendez. Joseph F.
American Federation of Labor and Affiliated Bodies,"Hatters of North America, United","Shalvoy, Hugh C."
American Federation of Labor and Affiliated Bodies,"Hod Carriers', Building and Common Laborers' Union of America, International",D'Allessandro. D.
American Federation of Labor and Affiliated Bodies,"Hod Carriers', Building and Common Laborers' Union of America, International","Persion, Achilles"
American Federation of Labor and Affiliated Bodies,"Horse Shoers of the United States and Canada, International Union of Journeymen","Flatley, Bernard"
American Federation of Labor and Affiliated Bodies,"Horse Shoers of the United States and Canada, International Union of Journeymen","Marshall, Hubert S."
American Federation of Labor and Affiliated Bodies,Hotel and Restaurant Employees' International Alliance and Bartenders' International League of America,"Flore, Edward"
American Federation of Labor and Affiliated Bodies,Hotel and Restaurant Employees' International Alliance and Bartenders' International League of America,Hassel. Alfred B.f.
American Federation of Labor and Affiliated Bodies,Hotel and Restaurant Employees' International Alliance and Bartenders' International League of America,"Hesketh, Robert B."
American Federation of Labor and Affiliated Bodies,Hotel and Restaurant Employees' International Alliance and Bartenders' International League of America,"Kearney, John J."
American Federation of Labor and Affiliated Bodies,Hotel and Restaurant Employees' International Alliance and Bartenders' International League of America,"Lehman. William, "
American Federation of Labor and Affiliated Bodies,Hotel and Restaurant Employees' International Alliance and Bartenders' International League of America,Osborn. Jay M.
American Federation of Labor and Affiliated Bodies,Hotel and Restaurant Employees' International Alliance and Bartenders' International League of America,"Staggenburg, J. C."
American Federation of Labor and Affiliated Bodies,Hotel and Restaurant Employees' International Alliance and Bartenders' International League of America,"Sullivan, Jere L."
American Federation of Labor and Affiliated Bodies,"Iron, Steel and Tin Workers, Amalgamated Association of","Bowers, Joseph A."
American Federation of Labor and Affiliated Bodies,"Iron, Steel and Tin Workers, Amalgamated Association of",Caldwell. Bert
American Federation of Labor and Affiliated Bodies,"Iron, Steel and Tin Workers, Amalgamated Association of","Davis, Ben I."
American Federation of Labor and Affiliated Bodies,"Iron, Steel and Tin Workers, Amalgamated Association of","Davis, David J."
American Federation of Labor and Affiliated Bodies,"Iron, Steel and Tin Workers, Amalgamated Association of","Larkin, Walter"
American Federation of Labor and Affiliated Bodies,"Iron, Steel and Tin Workers, Amalgamated Association of","Tighe, M. F."
American Federation of Labor and Affiliated Bodies,"Jewelry Workers' Union, International","Barrows, George"
American Federation of Labor and Affiliated Bodies,"Jewelry Workers' Union, International",Beardsley. Samuel E.
American Federation of Labor and Affiliated Bodies,"Jewelry Workers' Union, International","Eisenberg, J."
American Federation of Labor and Affiliated Bodies,"Jewelry Workers' Union, International","O'Hanley, John."
American Federation of Labor and Affiliated Bodies,"Jewelry Workers' Union, International","Pollicott, C. H."
American Federation of Labor and Affiliated Bodies,"Ladies' Garment Workers' Union, International","Amdur, Max"
American Federation of Labor and Affiliated Bodies,"Ladies' Garment Workers' Union, International","Antonini, Luigi"
American Federation of Labor and Affiliated Bodies,"Ladies' Garment Workers' Union, International","Barolt, Abraham S."
American Federation of Labor and Affiliated Bodies,"Ladies' Garment Workers' Union, International","Breslaw, Joseph, "
American Federation of Labor and Affiliated Bodies,"Ladies' Garment Workers' Union, International","Cohn, Fannia M."
American Federation of Labor and Affiliated Bodies,"Ladies' Garment Workers' Union, International",Danish. Max D.
American Federation of Labor and Affiliated Bodies,"Ladies' Garment Workers' Union, International","Dubinsky. David, "
American Federation of Labor and Affiliated Bodies,"Ladies' Garment Workers' Union, International","Feinberg, israel"
American Federation of Labor and Affiliated Bodies,"Ladies' Garment Workers' Union, International","Fichandler, Alex"
American Federation of Labor and Affiliated Bodies,"Ladies' Garment Workers' Union, International","Gadsby, Margaret"
American Federation of Labor and Affiliated Bodies,"Ladies' Garment Workers' Union, International","Giovannitti, Arturo"
American Federation of Labor and Affiliated Bodies,"Ladies' Garment Workers' Union, International","Greenberg, Harry"
American Federation of Labor and Affiliated Bodies,"Ladies' Garment Workers' Union, International","Halperin, Jacob"
American Federation of Labor and Affiliated Bodies,"Ladies' Garment Workers' Union, International","Jacobson, Charles"
American Federation of Labor and Affiliated Bodies,"Ladies' Garment Workers' Union, International",Lefkovits. Samuel
American Federation of Labor and Affiliated Bodies,"Ladies' Garment Workers' Union, International","Monosson, Fred"
American Federation of Labor and Affiliated Bodies,"Ladies' Garment Workers' Union, International","Newman, Pauline M."
American Federation of Labor and Affiliated Bodies,"Ladies' Garment Workers' Union, International","Ninfo, Salvatore. "
American Federation of Labor and Affiliated Bodies,"Ladies' Garment Workers' Union, International","Perlstein, Meyer"
American Federation of Labor and Affiliated Bodies,"Ladies' Garment Workers' Union, International","Polakoff, Sol"
American Federation of Labor and Affiliated Bodies,"Ladies' Garment Workers' Union, International","Price, George M."
American Federation of Labor and Affiliated Bodies,"Ladies' Garment Workers' Union, International","Reisberg, Elias"
American Federation of Labor and Affiliated Bodies,"Ladies' Garment Workers' Union, International","Saidman, Sol"
American Federation of Labor and Affiliated Bodies,"Ladies' Garment Workers' Union, International","Schocnholtz, Isidor"
American Federation of Labor and Affiliated Bodies,"Ladies' Garment Workers' Union, International",Schoolman. H. A.
American Federation of Labor and Affiliated Bodies,"Ladies' Garment Workers' Union, International","Sigman, Morris"
American Federation of Labor and Affiliated Bodies,"Ladies' Garment Workers' Union, International","Wander, Harry"
American Federation of Labor and Affiliated Bodies,"Ladies' Garment Workers' Union, International","Yanofsky, Saul"
American Federation of Labor and Affiliated Bodies,"Lathers, International Union of Wood, Wire and Metal","McSorley, William J."
American Federation of Labor and Affiliated Bodies,"Lathers, International Union of Wood, Wire and Metal","Yoder, Arthur D."
American Federation of Labor and Affiliated Bodies,Laundry Workers' International Union,"Brock, James F."
American Federation of Labor and Affiliated Bodies,Laundry Workers' International Union,"Donovan, Frank"
American Federation of Labor and Affiliated Bodies,Laundry Workers' International Union,Morrisson. Harry L.
American Federation of Labor and Affiliated Bodies,"Leather Workers', United, International Union","Alterman, William F."
American Federation of Labor and Affiliated Bodies,"Leather Workers', United, International Union","Bryan, William E."
American Federation of Labor and Affiliated Bodies,"Leather Workers', United, International Union","Pfeiffer, John J."
American Federation of Labor and Affiliated Bodies,"Leather Workers', United, International Union",Trapp. John W.
American Federation of Labor and Affiliated Bodies,"Letter Carriers, National Association of","Douglas, Ferd. L."
American Federation of Labor and Affiliated Bodies,"Letter Carriers, National Association of","Duffy, Charles D."
American Federation of Labor and Affiliated Bodies,"Letter Carriers, National Association of","Finnan, Michael T."
American Federation of Labor and Affiliated Bodies,"Letter Carriers, National Association of","Gainor, Edward J."
American Federation of Labor and Affiliated Bodies,"Letter Carriers, National Association of","Swartz, Luther E."
American Federation of Labor and Affiliated Bodies,"Letter Carriers, National Federation of Rural","Askew, Robert"
American Federation of Labor and Affiliated Bodies,"Letter Carriers, National Federation of Rural","Corwin, William D."
American Federation of Labor and Affiliated Bodies,"Letter Carriers, National Federation of Rural","Fox, James E., Alden"
American Federation of Labor and Affiliated Bodies,"Letter Carriers, National Federation of Rural","Hansen, Charles A."
American Federation of Labor and Affiliated Bodies,"Letter Carriers, National Federation of Rural",Heaselroth. Frank E.
American Federation of Labor and Affiliated Bodies,"Letter Carriers, National Federation of Rural","Klinker, George F."
American Federation of Labor and Affiliated Bodies,"Letter Carriers, National Federation of Rural","Myers, Mack"
American Federation of Labor and Affiliated Bodies,"Letter Carriers, National Federation of Rural","Powell, Alfred N."
American Federation of Labor and Affiliated Bodies,"Letter Carriers, National Federation of Rural","Reed, Fred E."
American Federation of Labor and Affiliated Bodies,"Letter Carriers, National Federation of Rural","Spann, Frank D."
American Federation of Labor and Affiliated Bodies,Lithographers' International Protective and Beneficial Association of the United States and Canada (Amalgamated Lithographers),Bock. Philip
American Federation of Labor and Affiliated Bodies,Lithographers' International Protective and Beneficial Association of the United States and Canada (Amalgamated Lithographers),"Ebert, Justus"
American Federation of Labor and Affiliated Bodies,Lithographers' International Protective and Beneficial Association of the United States and Canada (Amalgamated Lithographers),Halbmeier. Carl
American Federation of Labor and Affiliated Bodies,Lithographers' International Protective and Beneficial Association of the United States and Canada (Amalgamated Lithographers),"Maitland, Samuel H."
American Federation of Labor and Affiliated Bodies,Lithographers' International Protective and Beneficial Association of the United States and Canada (Amalgamated Lithographers),O'Connor. James M.
